Laura_30_S30	ERS30315708
Laura_29_S29	ERS30315707
Laura_28_S28	ERS30315706
Laura_27_S27	ERS30315705
Laura_26_S26	ERS30315704
Laura_25_S25	ERS30315703
Laura_24_S24	ERS30315702
Laura_23_S23	ERS30315701
Laura_22_S22	ERS30315700
Laura_21_S21	ERS30315699
Laura_20_S20	ERS30315698
Laura_19_S19	ERS30315697
Laura_18_S18	ERS30315696
Laura_17_S17	ERS30315695
Laura_16_S16	ERS30315694
Laura_15_S15	ERS30315693
Laura_14_S14	ERS30315692
Laura_13_S13	ERS30315691
Laura_12_S12	ERS30315690
Laura_11_S11	ERS30315689
Laura_10_S10	ERS30315688
Laura_9_S9	ERS30315687
Laura_8_S8	ERS30315686
Laura_7_S7	ERS30315685
Laura_6_S6	ERS30315684
Laura_5_S5	ERS30315683
Laura_4_S4	ERS30315682
Laura_3_S3	ERS30315681
Laura_2_S2	ERS30315680
Laura_1_S1	ERS30315679
